param1,param2,dataset,best fit
-1.8047506390434107,0.2819423774837127,REP_ESAL_SINGLE_AXLE,LogNormal
-0.683404216967738,0.40454878989308485,REP_ESAL_TANDEM_AXLE,LogNormal
-0.45698647068176684,0.42869482210496623,REP_ESAL_PER_VEH_CLASS_4,LogNormal
-1.9686898035440805,0.465778140540319,REP_ESAL_PER_VEH_CLASS_5,LogNormal
-0.512262544478303,0.44534160989494365,REP_ESAL_PER_VEH_CLASS_6,LogNormal
0.48845981021847484,0.7591230324819849,REP_ESAL_PER_VEH_CLASS_7,LogNormal
-0.7076134607670618,0.49650449608302194,REP_ESAL_PER_VEH_CLASS_8,LogNormal
0.13268823976581953,0.324306299013143,REP_ESAL_PER_VEH_CLASS_9,LogNormal
0.37311837965594236,0.503187773421073,REP_ESAL_PER_VEH_CLASS_10,LogNormal
2.0551010667383656,1.3492934010291915,REP_ESAL_PER_VEH_CLASS_11,Weibull
-0.11048735157368363,0.5301702245616412,REP_ESAL_PER_VEH_CLASS_12,LogNormal
1.1898900711197817,0.7011327184108207,REP_ESAL_PER_VEH_CLASS_13,LogNormal
-1.6531288954713679,0.2710296154268005,REP_GESAL_SINGLE_AXLE,LogNormal
-0.7830244113499949,0.2802814157853916,REP_GESAL_TANDEM_AXLE,LogNormal
-0.3931932565668448,0.3771339595800871,REP_GESAL_PER_VEH_CLASS_4,LogNormal
-1.8051891089422387,0.43951190745155577,REP_GESAL_PER_VEH_CLASS_5,LogNormal
-0.5274693897215064,0.3820407186777253,REP_GESAL_PER_VEH_CLASS_6,LogNormal
0.2810302027672277,0.657946242819822,REP_GESAL_PER_VEH_CLASS_7,LogNormal
-0.5949230152317584,0.47441677095370194,REP_GESAL_PER_VEH_CLASS_8,LogNormal
0.0877127708472269,0.2347887387537171,REP_GESAL_PER_VEH_CLASS_9,LogNormal
0.1996149633787332,0.38736834223755634,REP_GESAL_PER_VEH_CLASS_10,LogNormal
2.192960704700676,1.5510584359232307,REP_GESAL_PER_VEH_CLASS_11,Weibull
-0.004410276346083111,0.5034883576689848,REP_GESAL_PER_VEH_CLASS_12,LogNormal
1.8586160163970706,3.5449596009379425,REP_GESAL_PER_VEH_CLASS_13,Weibull
10.282072042315928,0.20946988375303818,REP_GVW_VEH_CLASS_4,LogNormal
9.491489566826118,0.16525079966523337,REP_GVW_VEH_CLASS_5,LogNormal
10.30463476501364,0.11716175464698547,REP_GVW_VEH_CLASS_6,LogNormal
3.3136397447445187,61282.1027258868,REP_GVW_VEH_CLASS_7,Weibull
5.470275023873937,34429.52686231374,REP_GVW_VEH_CLASS_8,Weibull
10.345856807583752,55754.118481401354,REP_GVW_VEH_CLASS_9,Weibull
11.075007791349972,0.12667568040380117,REP_GVW_VEH_CLASS_10,LogNormal
4.740379260743673,56408.32598764965,REP_GVW_VEH_CLASS_11,Weibull
10.989512115661912,0.17007268137753104,REP_GVW_VEH_CLASS_12,LogNormal
11.463952441360924,0.246287250422751,REP_GVW_VEH_CLASS_13,LogNormal
